user_id	title_id	user_rating
1	tt0094900	9
1	tt0038086	7
1	tt0096954	7
1	tt0099031	1
1	tt0103062	10
1	tt0100753	4
1	tt0096937	1
1	tt0098588	3
1	tt0097362	6
1	tt0100578	10
2	tt0093309	3
2	tt0094841	10
2	tt0096825	4
2	tt0098981	9
2	tt0098488	6
2	tt0099102	10
2	tt0093646	9
2	tt0099542	9
2	tt0099007	6
2	tt0099060	9
3	tt0065188	10
3	tt0100818	9
3	tt0095006	8
3	tt0098977	10
3	tt0098548	4
3	tt0096767	7
3	tt0094688	7
3	tt0098606	4
3	tt0099024	4
3	tt0103145	9
4	tt0096469	9
4	tt0098405	5
4	tt0095290	5
4	tt0098495	10
4	tt0100642	7
4	tt0097324	7
4	tt0096830	2
4	tt0096781	6
4	tt0101358	4
4	tt0100474	9
5	tt0098980	4
5	tt0099025	3
5	tt0099011	5
5	tt0101179	2
5	tt0102857	5
5	tt0089043	8
5	tt0098958	5
5	tt0015414	1
5	tt0096877	7
5	tt0096975	8
6	tt0097339	4
6	tt0097106	7
6	tt0096752	4
6	tt0098576	6
6	tt0087306	2
6	tt0099034	4
6	tt0101443	8
6	tt0096797	10
6	tt0096781	1
6	tt0096899	7
7	tt0038086	8
7	tt0090869	8
7	tt0098958	10
7	tt0096995	10
7	tt0090785	4
7	tt0096177	6
7	tt0098656	2
7	tt0097720	5
7	tt0096830	3
7	tt0099992	8
8	tt0100948	8
8	tt0099952	4
8	tt0096222	4
8	tt0097550	4
8	tt0096254	5
8	tt0098256	2
8	tt0084551	5
8	tt0098584	3
8	tt0098144	2
8	tt0093081	8
9	tt0099727	3
9	tt0099015	10
9	tt0098018	2
9	tt0097578	4
9	tt0097280	3
9	tt0096879	2
9	tt0097516	8
9	tt0103054	8
9	tt0096752	9
9	tt0098994	10
10	tt0097399	10
10	tt0097079	8
10	tt0099105	5
10	tt0097509	2
10	tt0099003	3
10	tt0098199	1
10	tt0098181	3
10	tt0099147	6
10	tt0097683	2
10	tt0084870	10
11	tt0097619	5
11	tt0096749	4
11	tt0077432	4
11	tt0100755	4
11	tt0088283	5
11	tt0092589	6
11	tt0096984	5
11	tt0099034	8
11	tt0094926	9
11	tt0098064	6
12	tt0099011	5
12	tt0100710	6
12	tt0101655	4
12	tt0102711	4
12	tt0095571	2
12	tt0097346	4
12	tt0093508	3
12	tt0095450	2
12	tt0098100	1
12	tt0040844	9
13	tt0102379	8
13	tt0097666	9
13	tt0099661	8
13	tt0097984	6
13	tt0095111	3
13	tt0093210	8
13	tt0096879	6
13	tt0100482	10
13	tt0096864	5
13	tt0098077	1
14	tt0095672	7
14	tt0099027	1
14	tt0102863	9
14	tt0101246	10
14	tt0098278	6
14	tt0099745	2
14	tt0103052	4
14	tt0098965	4
14	tt0096025	6
14	tt0096780	6
15	tt0098004	7
15	tt0095102	9
15	tt0097525	1
15	tt0096361	9
15	tt0095674	4
15	tt0100664	4
15	tt0102786	4
15	tt0098657	2
15	tt0100748	1
15	tt0091899	8
16	tt0098576	10
16	tt0097720	7
16	tt0070501	3
16	tt0099811	10
16	tt0098534	10
16	tt0095831	2
16	tt0097436	10
16	tt0097910	7
16	tt0090144	6
16	tt0099009	4
17	tt0098958	2
17	tt0097475	8
17	tt0097111	1
17	tt0000977	10
17	tt0090665	6
17	tt0097519	6
17	tt0096154	7
17	tt0094688	9
17	tt0099811	1
17	tt0096025	7
18	tt0097765	1
18	tt0098050	2
18	tt0094841	1
18	tt0096397	10
18	tt0097573	3
18	tt0096817	9
18	tt0098278	4
18	tt0099851	10
18	tt0097855	2
18	tt0096883	3
19	tt0095290	1
19	tt0096767	6
19	tt0096222	8
19	tt0095902	1
19	tt0097912	3
19	tt0098294	10
19	tt0092024	10
19	tt0093211	5
19	tt0098100	10
19	tt0096875	4
20	tt0097884	4
20	tt0098999	6
20	tt0101300	9
20	tt0094666	4
20	tt0088283	4
20	tt0095335	8
20	tt0097850	7
20	tt0097405	10
20	tt0096405	8
20	tt0099526	2
21	tt0103020	2
21	tt0099032	5
21	tt0099383	6
21	tt0097864	1
21	tt0098199	3
21	tt0097106	5
21	tt0090665	6
21	tt0097894	2
21	tt0098150	9
21	tt0096858	5
22	tt0095674	8
22	tt0082473	4
22	tt0090785	5
22	tt0092984	8
22	tt0096038	5
22	tt0098990	9
22	tt0098959	7
22	tt0097184	9
22	tt0096879	5
22	tt0096937	6
23	tt0099530	6
23	tt0093646	5
23	tt0092589	10
23	tt0096397	9
23	tt0100492	3
23	tt0096405	6
23	tt0101835	10
23	tt0097140	4
23	tt0098990	2
23	tt0098150	2
24	tt0099851	4
24	tt0100754	4
24	tt0084870	6
24	tt0065188	7
24	tt0097259	7
24	tt0088283	8
24	tt0098030	5
24	tt0098979	1
24	tt0096811	4
24	tt0098755	2
25	tt0097726	4
25	tt0095111	9
25	tt0099105	1
25	tt0097246	5
25	tt0098070	10
25	tt0087306	9
25	tt0097318	8
25	tt0097542	7
25	tt0098211	10
25	tt0102502	7
26	tt0101840	4
26	tt0100754	10
26	tt0093081	9
26	tt0098199	9
26	tt0097176	1
26	tt0097644	3
